"table_name","name","type","not_null","default_value","constraint","comment","fkey_table","fkey_column","fkey_cascade","index","field_alias","field_edit_type_name","field_edit_type_params","field_readonly","field_required"
"spatial_object","so_unique_label","text",1,,,"Label of each spatial object. Ex : name of the city.",,,,,,,,,
"spatial_object","geom","geometry(GEOMETRY,4326)",1,,,"Geometry of the spatial object. Alway in EPSG:4326",,,,1,,,,,
"spatial_object","fk_id_spatial_layer","integer",1,,,"Spatial layer","spatial_layer","id","restrict",1,,,,,
,,,,,,,,,,,,,,,
"observation","id","bigserial",1,,,"ID",,,,,,"ValueRelation","nomenclature|code|valeur|1|1|0|champ='ob_type'",0,1
"observation","fk_id_series","integer",1,,,"Series ID","series","id","restrict",1,,"ValueRelation","espece|es_id|es_nom_commun|1|1|0|",0,1
"observation","fk_id_spatial_object","bigint",1,,,"ID of the object in the spatial object table","spatial_object","id","restrict",1,,"TextEdit","0|0",0,1
"observation","fk_id_import","integer",1,,,"Import id","import","id","restrict",1,,,,,
"observation","ob_value","jsonb",1,,,"Vector containing the measured or computed data values. Ex : [1543, 1637]",,,,,,,,,
"observation","ob_timestamp","timestamp",1,,,"Timestamp of the data",,,,1,,,,,
